Tow #,lat,lon,pres,temp (use),sal,sigma,fluor,att.coeff.,oxygen_diss,O2_satur,pH,Om-Arag,O2
1,32.53457,-118.18678,1062.8,4.018,34.493,27.389,0.01,0.0064,0.4928,6.781903005,7.510552291,0.53029887,21.42172828
1,32.53457,-118.18678,1063,4.018,34.493,27.389,0.01,0.0064,0.4928,6.781903005,7.510552291,0.53029887,21.42172828
1,32.53456,-118.18679,1062.8,4.016,34.493,27.39,0.01,0.0052,0.4869,6.700382963,7.510186424,0.530286966,21.16523813
1,32.53456,-118.1868,1062.4,4.017,34.494,27.39,0.01,0.0064,0.4869,6.700590412,7.510195651,0.530313545,21.16523813
1,32.53455,-118.1868,1062.2,4.018,34.493,27.389,0.01,0.0064,0.4869,6.700707332,7.510204905,0.530340121,21.16525873
1,32.53454,-118.18681,1062.3,4.018,34.493,27.389,0.01,0.0064,0.4869,6.700707332,7.510204905,0.530340121,21.16525873
1,32.53454,-118.18681,1062.6,4.018,34.493,27.389,0.01,0.0064,0.4869,6.700707332,7.510204905,0.530340121,21.16525873
1,32.53454,-118.18682,1062.7,4.018,34.493,27.389,0.01,0.0064,0.4869,6.700707332,7.510204905,0.530340121,21.16525873
1,32.53454,-118.18683,1062.6,4.018,34.493,27.39,0.01,0.0064,0.4869,6.700707332,7.510204877,0.530340124,21.16523813
1,32.53454,-118.18684,1062.3,4.018,34.493,27.389,0.01,0.0064,0.481,6.619511659,7.509857519,0.530381372,20.90878917
1,32.53454,-118.18684,1062,4.018,34.493,27.39,0.01,0.0052,0.481,6.619511659,7.509857492,0.530381375,20.90876882
1,32.53454,-118.18685,1061.9,4.018,34.493,27.389,0.01,0.0064,0.4869,6.700707332,7.510204905,0.530340121,21.16525873
1,32.53454,-118.18686,1062,4.018,34.493,27.389,0.01,0.0064,0.4869,6.700707332,7.510204905,0.530340121,21.16525873
1,32.53453,-118.18686,1062.2,4.018,34.493,27.389,0.01,0.0064,0.4869,6.700707332,7.510204905,0.530340121,21.16525873
1,32.53452,-118.18687,1062.2,4.018,34.493,27.389,0.01,0.0084,0.4869,6.700707332,7.510204905,0.530340121,21.16525873
1,32.53452,-118.18687,1062.1,4.018,34.493,27.389,0.01,0.0096,0.481,6.619511659,7.509857519,0.530381372,20.90878917
1,32.53451,-118.18688,1061.9,4.018,34.493,27.389,0.01,0.0068,0.481,6.619511659,7.509857519,0.530381372,20.90878917
1,32.53451,-118.18689,1061.8,4.018,34.493,27.39,0.01,0.0072,0.481,6.619511659,7.509857492,0.530381375,20.90876882
1,32.53451,-118.1869,1061.7,4.018,34.493,27.39,0.01,0.0076,0.4869,6.700707332,7.510204877,0.530340124,21.16523813
1,32.53451,-118.1869,1061.8,4.018,34.493,27.39,0.01,0.0076,0.4869,6.700707332,7.510204877,0.530340124,21.16523813
