       PrDM      T090C      C0S/m       FlSP     Upoly0     Upoly1      Sal00 Sbeox0ML/L  Sigma-t00       SvDM Potemp090C
    200.000    10.4210   3.734280 7.3163e-02  0.0078669  0.1095699    33.7518     4.2828    25.9054    1493.04    10.3975
    201.000    10.3998   3.732325 7.2747e-02  0.0096760  0.1100917    33.7513     4.2485    25.9087    1492.98    10.3762
    202.000    10.3340   3.726328 7.0270e-02  0.0114926  0.1126877    33.7514     4.2022    25.9201    1492.76    10.3104
    203.000    10.2689   3.720931 6.9960e-02  0.0130256  0.1127176    33.7569     4.1645    25.9356    1492.55    10.2453
    204.000    10.2206   3.717283 7.1475e-02  0.0122186  0.1125029    33.7644     4.1438    25.9497    1492.40    10.1970
    205.000    10.1849   3.714535 7.0956e-02  0.0122100  0.1132486    33.7694     4.1157    25.9597    1492.29    10.1612
    206.000    10.1135   3.709058 6.9887e-02  0.0140925  0.1133097    33.7799     4.0815    25.9800    1492.06    10.0898
    207.000    10.0802   3.706535 6.7646e-02  0.0123813  0.1141679    33.7850     4.0608    25.9897    1491.97    10.0564
    208.000    10.0677   3.705576 7.1189e-02  0.0126670  0.1149244    33.7864     4.0437    25.9929    1491.94    10.0438
    209.000    10.0172   3.701944 6.9451e-02  0.0117114  0.1134920    33.7962     4.0256    26.0091    1491.79     9.9933
    210.000     9.9509   3.696871 7.1207e-02  0.0123490  0.1134468    33.8061     3.9918    26.0280    1491.57     9.9269
    211.000     9.8591   3.689564 6.6412e-02  0.0134415  0.1123213    33.8171     3.9530    26.0520    1491.27     9.8352
    212.000     9.8370   3.687937 6.6658e-02  0.0129365  0.1114733    33.8207     3.9229    26.0585    1491.21     9.8130
    213.000     9.8188   3.686502 6.5899e-02  0.0125115  0.1118873    33.8227     3.8937    26.0630    1491.16     9.7947
    214.000     9.7947   3.684617 6.4838e-02  0.0137125  0.1106262    33.8255     3.8748    26.0693    1491.10     9.7705
    215.000     9.7724   3.682991 7.0819e-02  0.0139289  0.1114102    33.8294     3.8580    26.0760    1491.04     9.7482
    216.000     9.7597   3.682069 6.5890e-02  0.0155788  0.1159264    33.8314     3.8383    26.0797    1491.01     9.7354
    217.000     9.7231   3.679447 6.4632e-02  0.0133613  0.1160384    33.8385     3.8180    26.0913    1490.90     9.6987
    218.000     9.6746   3.676133 6.5561e-02  0.0125830  0.1135321    33.8496     3.8043    26.1081    1490.75     9.6502
    219.000     9.6482   3.674467 6.5601e-02  0.0134262  0.1127803    33.8570     3.7919    26.1182    1490.68     9.6237
    220.000     9.6259   3.673028 6.6103e-02  0.0133434  0.1122822    33.8627     3.7813    26.1263    1490.63     9.6013
    221.000     9.6092   3.672186 6.5662e-02  0.0133617  0.1126731    33.8693     3.7717    26.1342    1490.59     9.5846
    222.000     9.5864   3.670645 6.4526e-02  0.0136299  0.1146429    33.8745     3.7695    26.1421    1490.53     9.5617
    223.000     9.5772   3.670556 6.5491e-02  0.0156699  0.1174981    33.8818     3.7771    26.1493    1490.52     9.5524
    224.000     9.5659   3.670199 6.4997e-02  0.0144134  0.1183255    33.8883     3.7864    26.1563    1490.50     9.5410
    225.000     9.5483   3.668751 6.5673e-02  0.0128420  0.1155340    33.8897     3.7881    26.1602    1490.46     9.5232
    226.000     9.5434   3.669201 6.5422e-02  0.0127352  0.1157021    33.8984     3.7865    26.1678    1490.47     9.5183
    227.000     9.4705   3.663244 6.5227e-02  0.0126198  0.1147621    33.9055     3.7597    26.1853    1490.22     9.4454
    228.000     9.4346   3.660792 6.5284e-02  0.0138699  0.1148534    33.9136     3.7087    26.1975    1490.12     9.4094
