Sample.number	Marker	replicate	Extraction_lab	Sequencing_lab	Library_name	Location.name	Location.ID	SampleID	Cruise	Station	Tow	net	Mesh_size	Size_frac	Min_depth	Max_depth	Depth_midpoint	depth_bin	Diel	dna-conc	Province	Lat(N)	Lon(W)
S837	COI	rep3	BATS	Allen	Library-BB	Subtropical Gyre North East	3	M26N3	NH1208	34	26	3	100um	na	400	600	500		night	5322.899		33.5469525	-134.9893835
S838	COI	rep3	BATS	Allen	Library-BB	Subtropical Gyre North East	3	M26N4	NH1208	34	26	4	100um	na	200	400	300		night	10803.058		33.5469525	-134.9893835
S839	COI	rep3	BATS	Allen	Library-BB	Subtropical Gyre North East	3	M26N5	NH1208	34	26	5	100um	na	100	200	150		night	11110.948		33.5469525	-134.9893835
S840	COI	rep3	BATS	Allen	Library-BB	Subtropical Gyre North East	3	M26N6	NH1208	34	26	6	100um	na	50	100	75		night	2534.712		33.5469525	-134.9893835
S841	COI	rep3	BATS	Allen	Library-BB	Subtropical Gyre North East	3	M26N7	NH1208	34	26	7	100um	na	25	50	38		night	10987.687		33.5469525	-134.9893835
S842	COI	rep3	BATS	Allen	Library-BB	Subtropical Gyre North East	3	M26N8	NH1208	34	26	8	100um	na	0	25	13		night	10508.731		33.5469525	-134.9893835
S843	COI	rep3	BATS	Allen	Library-BB	Subtropical Gyre North East	3	M25N1	NH1208	34	25	1	100um	na	800	1000	900		day	10934.633		33.5469525	-134.9893835
S844	COI	rep3	BATS	Allen	Library-BB	Subtropical Gyre North East	3	M25N2	NH1208	34	25	2	100um	na	600	800	700		day	10334.373		33.5469525	-134.9893835
S845	COI	rep3	BATS	Allen	Library-BB	Subtropical Gyre North East	3	M25N3	NH1208	34	25	3	100um	na	400	600	500		day	12860.989		33.5469525	-134.9893835
S846	COI	rep3	BATS	Allen	Library-BB	Subtropical Gyre North East	3	M25N4	NH1208	34	25	4	100um	na	200	400	300		day	12077.658		33.5469525	-134.9893835
S847	COI	rep3	BATS	Allen	Library-BB	Subtropical Gyre North East	3	M25N5	NH1208	34	25	5	100um	na	100	200	150		day	11563.834		33.5469525	-134.9893835
S848	COI	rep3	BATS	Allen	Library-BB	Subtropical Gyre North East	3	M25N6	NH1208	34	25	6	100um	na	50	100	75		day	7725.003		33.5469525	-134.9893835
S849	COI	rep3	BATS	Allen	Library-BB	Subtropical Gyre North East	3	M25N7	NH1208	34	25	7	100um	na	25	50	38		day	10978.778		33.5469525	-134.9893835
S850	COI	rep3	BATS	Allen	Library-BB	Subtropical Gyre North East	3	M25N8	NH1208	34	25	8	100um	na	0	25	13		day	11531.735		33.5469525	-134.9893835
S851	COI	rep3	BATS	Allen	Library-BB	na	na	MOCK-EVEN	na	na	na	na	100um	na	na	na	na		na	10300		na	na
S852	COI	rep3	BATS	Allen	Library-BB	na	na	MOCK-STAGGERED	na	na	na	na	100um	na	na	na	na		na	13200		na	na
S3101	COI	rep1	GAK	GAK	GAK	Subarctic Gyre North East	4	MN19N3	SKQ201916S	GAK19	1	3	150um	na	600	1200	900			na		57.19301	-146.9569
S3102	COI	rep1	GAK	GAK	GAK	Subarctic Gyre North East	4	MN19N4	SKQ201916S	GAK19	1	4	150um	na	400	600	500			na		57.19301	-146.9569
S3103	COI	rep1	GAK	GAK	GAK	Subarctic Gyre North East	4	MN19N5	SKQ201916S	GAK19	1	5	150um	na	300	400	350			na		57.19301	-146.9569
S3104	COI	rep1	GAK	GAK	GAK	Subarctic Gyre North East	4	MN19N6	SKQ201916S	GAK19	1	6	150um	na	200	300	250			na		57.19301	-146.9569
S3105	COI	rep1	GAK	GAK	GAK	Subarctic Gyre North East	4	MN19N7	SKQ201916S	GAK19	1	7	150um	na	100	200	150			na		57.19301	-146.9569
S3106	COI	rep1	GAK	GAK	GAK	Subarctic Gyre North East	4	MN19N8	SKQ201916S	GAK19	1	8	150um	na	40	100	70			na		57.19301	-146.9569
S3107	COI	rep1	GAK	GAK	GAK	Subarctic Gyre North East	4	MN19N9	SKQ201916S	GAK19	1	9	150um	na	0	40	20			na		57.19301	-146.9569
S3108	COI	rep2	GAK	GAK	GAK	Subarctic Gyre North East	4	MN19N3	SKQ201916S	GAK19	1	3	150um	na	600	1200	900			na		57.19301	-146.9569
S3109	COI	rep2	GAK	GAK	GAK	Subarctic Gyre North East	4	MN19N4	SKQ201916S	GAK19	1	4	150um	na	400	600	500			na		57.19301	-146.9569
